batter,career_runs,career_sr,career_avg,career_boundary_pct,career_death_sr,seasons,consistency_cv,impact_pct,player_value_index
LA Pomersbach,302,122.76,30.20,15.45,136.73,4,1.05,18.75,55.81
DJ Bravo,1560,129.57,22.94,15.45,174.14,14,1.06,13.64,55.76
C de Grandhomme,303,134.67,21.64,16.00,141.59,3,0.99,23.81,55.63
NLTC Perera,424,137.22,19.27,15.86,151.70,5,0.82,16.67,55.50
AD Mathews,724,125.91,25.86,12.70,153.99,6,0.84,19.51,55.49
SW Billings,503,129.64,19.35,15.46,168.57,5,0.91,18.52,55.33
AR Patel,1653,130.88,22.34,14.73,151.26,11,0.92,13.39,54.27
JP Faulkner,527,135.13,20.27,15.13,154.58,6,0.99,13.33,54.11
Y Venugopal Rao,985,117.82,23.45,13.64,154.18,6,0.86,21.15,53.97
ST Jayasuriya,768,144.36,27.43,23.12,0,3,0.98,33.33,53.94
MR Marsh,665,127.64,21.45,16.51,143.59,8,1.10,19.44,53.77
Azhar Mahmood,388,128.05,20.42,17.16,135.16,3,1.11,23.81,53.70
STR Binny,880,128.84,20.47,14.79,150.95,10,0.90,15.15,53.57
Mandeep Singh,1706,122.91,21.33,15.42,149.64,13,0.98,18.56,53.41
Anuj Rawat,318,119.10,22.71,14.98,175.31,4,1.12,9.52,53.11
Harbhajan Singh,833,137.91,16.33,20.03,151.46,13,1.24,6.82,52.96
Gurkeerat Singh,511,121.09,21.29,15.64,154.94,6,0.93,9.38,52.55
MS Bisla,798,113.68,22.17,16.52,157.58,6,1.12,15.38,52.44
IK Pathan,1150,121.05,23.47,13.26,149.32,9,0.90,12.20,52.36
KM Jadhav,1208,123.14,23.69,14.48,138.82,12,0.99,13.58,52.35
JEC Franklin,327,108.64,29.73,11.30,142.65,2,0.98,18.75,52.25
DJ Hooda,1466,129.51,19.81,13.87,148.34,10,1.02,14.58,52.04
DB Das,304,116.48,25.33,14.94,120.62,3,0.76,9.09,51.45
Shakib Al Hasan,795,124.41,20.38,14.71,140.00,9,0.99,13.46,51.34
TL Suman,676,117.57,22.53,14.09,133.33,5,0.95,15.38,50.92
AP Tare,339,124.18,14.13,18.68,153.85,6,1.04,7.41,50.65
DB Ravi Teja,375,118.30,19.74,13.88,138.52,5,0.99,20.00,50.63
NV Ojha,1554,118.35,21.58,15.23,139.80,10,1.09,11.70,50.47
AM Nayar,672,116.46,18.67,13.00,157.36,7,0.91,12.00,50.10
Shahbaz Ahmed,536,121.82,19.85,12.05,146.86,5,0.97,13.51,50.00
B Chipli,280,111.55,18.67,13.94,178.57,4,1.14,9.52,49.96
P Negi,365,126.30,16.59,14.88,141.21,6,0.93,8.57,49.79
DJG Sammy,295,122.41,19.67,13.69,141.67,3,0.94,5.00,49.36
SA Asnodkar,423,124.78,23.50,19.47,0,4,0.85,36.84,48.79
AL Menaria,401,112.64,19.10,11.80,121.25,3,0.76,21.74,48.59
SN Thakur,307,138.91,13.35,18.10,144.29,9,1.47,2.86,48.59
MD Mishra,237,113.94,15.80,15.38,142.11,3,0.92,11.76,48.55
M Manhas,514,109.36,22.35,11.28,131.89,6,0.90,13.16,48.04
S Sohal,368,126.03,20.44,17.81,44.44,3,1.08,30.00,48.01
CA Pujara,390,99.74,21.67,13.81,114.63,5,0.80,18.18,47.64
J Botha,409,113.93,20.45,12.26,129.27,5,1.05,14.29,47.63
Y Nagar,285,110.04,20.36,11.20,140.94,4,0.81,5.00,47.20
UBT Chand,300,100.00,15.00,13.67,166.67,6,1.03,15.00,47.11
KR Mayers,379,144.11,29.15,22.81,0,1,,,46.96
PK Garg,273,113.28,15.17,10.37,162.50,4,0.94,10.53,46.85
R Sathish,270,116.88,16.88,12.12,138.98,4,0.75,0.00,46.62
LR Shukla,405,115.71,15.00,14.00,133.54,7,0.99,9.09,46.37
Washington Sundar,378,116.31,14.54,12.62,143.75,8,1.01,7.89,46.04
Lalit Yadav,305,105.17,20.33,11.72,117.50,4,0.96,14.29,45.62
KV Sharma,351,119.39,14.63,12.59,137.22,8,1.03,5.13,45.50
DT Christian,460,115.58,17.04,10.55,138.57,6,0.94,4.88,45.42
JO Holder,259,122.75,12.33,14.69,129.85,6,1.08,3.70,45.09
HV Patel,249,122.66,10.38,15.27,142.97,10,1.25,5.41,44.95
R Bhatia,342,120.42,11.79,13.03,145.93,10,0.96,0.00,44.94
AA Jhunjhunwala,217,103.33,18.08,11.43,135.29,3,1.07,13.33,44.91
R Ashwin,800,118.52,14.04,13.19,134.08,15,1.17,5.62,44.58
M Kaif,259,103.60,16.19,11.20,120.00,4,0.76,9.09,43.82
SP Goswami,293,99.32,15.42,11.86,118.18,7,1.07,14.29,42.31
PP Chawla,624,110.83,11.77,13.50,121.45,15,0.91,0.00,42.22
Rahmanullah Gurbaz,289,133.80,22.23,19.91,0.00,2,,,41.11
K Goel,218,94.37,16.77,11.26,107.14,3,0.82,6.25,41.10
R Vinay Kumar,310,113.14,12.40,10.95,115.93,10,0.99,0.00,40.68
VVS Laxman,282,105.62,17.63,14.23,50.00,4,1.16,20.00,40.63
P Kumar,340,108.28,10.00,12.42,112.64,10,1.16,1.75,38.91
GH Vihari,284,88.47,14.95,7.48,114.29,3,1.13,13.04,37.53
UT Yadav,208,103.48,10.40,12.44,109.04,14,1.33,0.00,37.03
Kuldeep Yadav,183,84.72,20.33,8.80,90.56,7,1.27,3.13,35.99
A Mishra,381,90.93,13.61,8.59,104.00,13,1.09,3.64,35.94
SK Warne,198,92.52,11.65,9.35,103.79,4,1.20,3.70,35.19
B Kumar,306,93.87,9.56,10.12,96.22,14,1.18,0.00,33.90
