batter,season,balls_faced,runs_scored,fours,sixes,dot_balls,powerplay_runs,middle_runs,death_runs,powerplay_balls,middle_balls,death_balls,times_dismissed,matches,strike_rate,average,boundary_pct,death_strike_rate
AR Patel,2018,69,80,3,4,20,0,57,23,0,50,19,6,8,115.94,13.33,10.14,121.05
AR Patel,2019,88,110,10,3,29,0,27,83,0,34,54,6,12,125.00,18.33,14.77,153.70
AR Patel,2020/21,85,117,6,8,29,0,43,74,0,34,51,8,9,137.65,14.63,16.47,145.10
AR Patel,2021,46,40,2,1,18,0,19,21,2,21,23,5,6,86.96,8.00,6.52,91.30
AR Patel,2022,120,182,12,10,38,0,55,127,0,50,70,3,10,151.67,60.67,18.33,181.43
AR Patel,2023,203,283,21,15,70,2,123,158,5,108,90,10,13,139.41,28.30,17.73,175.56
AR Patel,2024,179,235,19,10,62,19,129,87,18,93,68,8,12,131.28,29.38,16.20,127.94
Arjun Tendulkar,2023,9,13,0,1,2,0,0,13,0,0,9,1,1,144.44,13.00,11.11,144.44
Arshad Khan,2023,15,18,0,1,4,0,2,16,0,4,11,2,3,120.00,9.00,6.67,145.45
Arshad Khan,2024,50,78,5,5,18,0,30,48,0,21,29,1,3,156.00,78.00,20.00,165.52
Arshad Khan (2),2024,4,5,1,0,2,0,0,5,0,0,4,1,1,125.00,5.00,25.00,125.00
Arshdeep Singh,2020/21,3,0,0,0,3,0,0,0,0,0,3,1,1,0.00,0.00,0.00,0.00
Arshdeep Singh,2021,3,2,0,0,1,0,0,2,0,0,3,0,2,66.67,2.00,0.00,66.67
Arshdeep Singh,2022,29,21,3,0,20,0,4,17,0,3,26,3,6,72.41,7.00,10.34,65.38
Arshdeep Singh,2023,2,2,0,0,1,0,0,2,0,0,2,0,1,100.00,2.00,0.00,100.00
Arshdeep Singh,2024,3,4,1,0,2,0,0,4,0,0,3,1,1,133.33,4.00,33.33,133.33
AS Joseph,2019,13,15,2,0,6,0,0,15,0,0,13,0,1,115.38,15.00,15.38,115.38
AS Joseph,2022,7,5,0,0,2,0,0,5,0,0,7,1,3,71.43,5.00,0.00,71.43
AS Joseph,2023,12,7,1,0,8,0,3,4,0,3,9,0,1,58.33,7.00,8.33,44.44
AS Rajpoot,2013,6,2,0,0,5,0,0,2,0,0,6,0,1,33.33,2.00,0.00,33.33
AS Rajpoot,2017,7,4,1,0,6,0,0,4,0,0,7,1,1,57.14,4.00,14.29,57.14
AS Rajpoot,2018,18,11,1,0,10,0,1,10,0,5,13,2,3,61.11,5.50,5.56,76.92
AS Rajpoot,2020/21,10,9,0,1,6,0,0,9,0,0,10,1,2,90.00,9.00,10.00,90.00
AS Raut,2009,61,78,5,3,21,0,29,49,0,26,35,4,7,127.87,19.50,13.11,140.00
AS Raut,2009/10,48,56,3,3,19,0,13,43,0,9,39,2,5,116.67,28.00,12.50,110.26
AS Raut,2011,58,60,5,1,22,7,25,28,6,23,29,3,4,103.45,20.00,10.34,96.55
AS Roy,2022,2,0,0,0,2,0,0,0,0,2,0,1,1,0.00,0.00,0.00,0.00
AS Roy,2023,19,23,3,0,7,4,0,19,5,1,13,2,4,121.05,11.50,15.79,146.15
AS Roy,2024,3,3,0,0,1,0,0,3,0,0,3,0,1,100.00,3.00,0.00,100.00
AS Yadav,2007/08,39,49,5,2,17,0,10,39,0,10,29,5,6,125.64,9.80,17.95,134.48
Ashutosh Sharma,2024,113,189,10,15,36,0,61,128,0,44,69,7,9,167.26,27.00,22.12,185.51
AT Carey,2020/21,29,32,0,1,8,0,0,32,0,0,29,2,3,110.34,16.00,3.45,110.34
AT Rayudu,2009/10,246,356,34,13,75,47,206,103,30,152,64,12,14,144.72,29.67,19.11,160.94
AT Rayudu,2011,350,395,44,9,143,79,246,70,106,204,40,13,16,112.86,30.38,15.14,175.00
AT Rayudu,2012,252,333,21,14,77,23,200,110,33,161,58,9,15,132.14,37.00,13.89,189.66
AT Rayudu,2013,231,265,22,4,71,31,103,131,25,119,87,12,15,114.72,22.08,11.26,150.57
AT Rayudu,2014,287,361,31,8,89,77,244,40,70,186,31,14,14,125.78,25.79,13.59,129.03
AT Rayudu,2015,193,281,18,16,58,3,90,188,14,86,93,9,14,145.60,31.22,17.62,202.15
AT Rayudu,2016,278,334,28,12,100,139,172,23,111,148,19,11,12,120.14,30.36,14.39,121.05
AT Rayudu,2017,78,91,7,3,28,10,43,38,22,41,15,5,5,116.67,18.20,12.82,253.33
AT Rayudu,2018,402,602,53,34,136,234,271,97,152,198,52,13,16,149.75,46.31,21.64,186.54
AT Rayudu,2019,303,282,20,7,127,37,166,79,65,172,66,12,17,93.07,23.50,8.91,119.70
AT Rayudu,2020/21,282,359,30,12,89,58,250,51,51,197,34,9,11,127.30,39.89,14.89,150.00
AT Rayudu,2021,170,257,16,17,53,0,129,128,3,103,64,9,13,151.18,28.56,19.41,200.00
AT Rayudu,2022,224,274,25,15,103,39,198,37,50,153,21,10,11,122.32,27.40,17.86,176.19
AT Rayudu,2023,113,158,10,9,36,0,74,84,0,59,54,10,12,139.82,15.80,16.81,155.56
Atharva Taide,2023,129,186,20,6,46,102,84,0,65,64,0,6,7,144.19,31.00,20.16,0.00
Atharva Taide,2024,39,61,7,2,12,42,19,0,29,10,0,2,2,156.41,30.50,23.08,0.00
AU Rashid,2023,16,22,2,1,7,0,18,4,0,13,3,2,2,137.50,11.00,18.75,133.33
AUK Pathan,2011,16,33,5,2,8,14,7,12,5,4,7,4,5,206.25,8.25,43.75,171.43
AUK Pathan,2012,7,6,0,0,3,0,4,2,0,4,3,1,2,85.71,6.00,0.00,66.67
Avesh Khan,2019,3,4,1,0,2,0,0,4,0,0,3,0,1,133.33,4.00,33.33,133.33
Avesh Khan,2021,3,5,1,0,1,0,0,5,0,0,3,0,1,166.67,5.00,33.33,166.67
Avesh Khan,2022,13,22,0,3,6,0,12,10,0,4,9,1,4,169.23,22.00,23.08,111.11
Avesh Khan,2023,1,0,0,0,1,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00
Avesh Khan,2024,5,10,1,0,0,0,0,10,0,0,5,0,2,200.00,10.00,20.00,200.00
Azhar Mahmood,2012,142,186,16,8,53,7,103,76,4,90,48,8,10,130.99,23.25,16.90,158.33
Azhar Mahmood,2013,154,196,22,5,58,15,140,41,20,98,36,10,10,127.27,19.60,17.53,113.89
Azhar Mahmood,2015,7,6,1,0,5,0,0,6,0,0,7,1,1,85.71,6.00,14.29,85.71
Azmatullah Omarzai,2024,33,42,2,2,10,0,36,6,0,29,4,4,4,127.27,10.50,12.12,150.00
B Akhil,2007/08,31,46,4,3,13,0,5,41,0,6,25,2,7,148.39,23.00,22.58,164.00
B Akhil,2009,15,17,1,1,8,0,9,8,0,7,8,2,3,113.33,8.50,13.33,100.00
B Akhil,2011,9,13,0,1,3,0,13,0,0,8,1,1,1,144.44,13.00,11.11,0.00
B Chipli,2007/08,28,20,3,0,17,20,0,0,28,0,0,3,3,71.43,6.67,10.71,0.00
B Chipli,2011,170,207,21,4,60,20,107,80,28,98,44,8,13,121.76,25.88,14.71,181.82
B Chipli,2012,35,37,3,2,18,1,16,20,6,17,12,3,4,105.71,12.33,14.29,166.67
B Chipli,2013,18,16,1,1,9,14,2,0,14,4,0,1,1,88.89,16.00,11.11,0.00
B Indrajith,2022,30,21,2,0,17,19,2,0,27,3,0,3,3,70.00,7.00,6.67,0.00
B Kumar,2011,1,1,0,0,0,0,0,1,0,0,1,0,1,100.00,1.00,0.00,100.00
B Kumar,2012,40,40,4,0,16,0,2,38,0,3,37,3,8,100.00,13.33,10.00,102.70
B Kumar,2013,71,52,3,1,39,0,1,51,0,4,67,7,9,73.24,7.43,5.63,76.12
B Kumar,2014,4,1,0,0,3,0,0,1,0,0,4,1,2,25.00,1.00,0.00,25.00
B Kumar,2015,10,17,2,1,5,0,0,17,0,0,10,1,3,170.00,17.00,30.00,170.00
B Kumar,2016,27,43,6,1,9,0,0,43,0,0,27,5,8,159.26,8.60,25.93,159.26
B Kumar,2017,4,4,0,0,1,0,0,4,0,0,4,1,2,100.00,4.00,0.00,100.00
B Kumar,2018,16,13,1,0,6,0,0,13,0,0,16,1,4,81.25,13.00,6.25,81.25
B Kumar,2019,19,12,1,0,10,0,0,12,0,0,19,3,4,63.16,4.00,5.26,63.16
B Kumar,2020/21,2,0,0,0,2,0,0,0,0,0,2,1,1,0.00,0.00,0.00,0.00
B Kumar,2021,30,34,3,0,6,0,0,34,0,0,30,1,7,113.33,34.00,10.00,113.33
B Kumar,2022,26,24,3,0,10,0,0,24,0,0,26,2,6,92.31,12.00,11.54,92.31
B Kumar,2023,47,42,4,0,21,0,18,24,0,17,30,3,5,89.36,14.00,8.51,80.00
B Kumar,2024,29,23,3,0,18,0,5,18,0,11,18,3,5,79.31,7.67,10.34,100.00
B Laughlin,2013,9,4,0,0,5,0,3,1,0,7,2,1,2,44.44,4.00,0.00,50.00
B Laughlin,2018,4,1,0,0,3,0,0,1,0,0,4,1,2,25.00,1.00,0.00,25.00
B Lee,2007/08,13,17,2,1,6,0,0,17,0,0,13,1,3,130.77,17.00,23.08,130.77
B Lee,2009,34,28,2,1,18,0,2,26,0,2,32,2,4,82.35,14.00,8.82,81.25
B Lee,2009/10,9,11,1,0,2,0,0,11,0,0,9,1,3,122.22,11.00,11.11,122.22
B Lee,2011,9,5,0,0,4,0,0,5,0,0,9,2,4,55.56,2.50,0.00,55.56
B Lee,2012,20,42,2,4,5,0,9,33,0,5,15,2,3,210.00,21.00,30.00,220.00
B Lee,2013,12,21,1,2,5,0,1,20,0,3,9,1,2,175.00,21.00,25.00,222.22
B Sai Sudharsan,2022,114,145,14,3,35,28,85,32,26,70,18,4,5,127.19,36.25,14.91,177.78
B Sai Sudharsan,2023,256,362,33,12,75,80,194,88,68,147,41,6,8,141.41,60.33,17.58,214.63
B Sai Sudharsan,2024,373,527,48,17,105,164,312,51,142,205,26,11,12,141.29,47.91,17.43,196.15
B Stanlake,2018,2,5,1,0,0,0,0,5,0,0,2,0,1,250.00,5.00,50.00,250.00
B Sumanth,2009/10,37,35,3,0,14,0,9,26,0,11,26,1,4,94.59,35.00,8.11,100.00
BA Bhatt,2011,5,0,0,0,5,0,0,0,0,0,5,0,1,0.00,0.00,0.00,0.00
BA Bhatt,2012,2,6,0,1,1,0,0,6,0,0,2,0,1,300.00,6.00,50.00,300.00
BA Stokes,2017,221,316,22,15,64,27,213,76,22,154,45,10,11,142.99,31.60,16.74,168.89
BA Stokes,2018,161,196,13,6,50,35,141,20,31,117,13,12,12,121.74,16.33,11.80,153.85
BA Stokes,2019,99,123,8,4,31,0,55,68,0,50,49,6,9,124.24,20.50,12.12,138.78
BA Stokes,2020/21,200,285,36,7,78,177,72,36,124,60,16,7,8,142.50,40.71,21.50,225.00
