bowler,career_wickets,career_balls,career_economy,career_bowling_avg,career_bowling_sr,career_death_economy,career_dots,dot_ball_pct,seasons,economy_cv,bowler_value_index
KH Pandya,80,2122,7.48,33.05,26.53,7.99,676,31.86,9,0.36,45.47
Mohammed Siraj,96,1958,8.87,30.15,20.40,10.34,806,41.16,8,0.33,45.45
J Botha,27,694,7.07,30.30,25.70,7.81,254,36.60,5,0.29,45.29
A Singh,31,473,8.11,20.61,15.26,10.14,189,39.96,3,0.34,45.28
L Balaji,85,1512,8.27,24.51,17.79,10.48,537,35.52,7,0.36,45.22
WPUJC Vaas,22,282,7.74,16.55,12.82,12.00,128,45.39,3,,45.08
SK Warne,60,1194,7.36,24.42,19.90,9.08,426,35.68,4,0.33,45.05
MR Marsh,37,560,8.60,21.70,15.14,11.11,181,32.32,8,0.40,45.01
R Sharma,42,928,7.11,26.19,22.10,8.96,334,35.99,5,0.37,44.97
I Sharma,96,2309,8.46,33.91,24.05,11.25,969,41.97,14,0.32,44.92
SK Trivedi,73,1506,7.75,26.63,20.63,9.12,492,32.67,6,0.32,44.88
JO Holder,59,995,8.98,25.24,16.86,9.99,321,32.26,7,0.28,44.86
Arshdeep Singh,84,1364,9.22,24.96,16.24,9.81,472,34.60,6,0.27,44.84
AJ Tye,48,685,8.80,20.94,14.27,9.61,208,30.36,5,0.29,44.82
R Rampaul,17,268,7.14,18.76,15.76,11.77,130,48.51,2,,44.66
JP Faulkner,76,1238,8.96,24.33,16.29,10.30,399,32.23,7,0.30,44.63
Azhar Mahmood,31,537,7.90,22.81,17.32,9.83,199,37.06,3,0.27,44.60
Ravi Bishnoi,68,1411,7.91,27.37,20.75,8.99,492,34.87,5,0.30,44.52
S Nadeem,54,1415,7.63,33.33,26.20,9.53,453,32.01,11,0.33,44.52
KV Sharma,82,1495,8.55,25.98,18.23,11.77,483,32.31,10,0.36,44.51
SN Thakur,100,1866,9.35,29.08,18.66,10.68,639,34.24,9,0.29,44.41
BW Hilfenhaus,23,372,8.02,21.61,16.17,11.44,173,46.51,2,0.30,44.41
A Zampa,30,419,8.05,18.73,13.97,10.21,129,30.79,4,0.34,44.36
KK Cooper,36,576,8.22,21.92,16.00,9.14,184,31.94,3,0.26,44.33
RG Sharma,16,339,8.18,28.88,21.19,8.82,88,25.96,8,0.29,44.28
P Negi,38,716,7.99,25.11,18.84,11.40,237,33.10,8,0.34,44.24
MC Henriques,46,950,8.22,28.30,20.65,9.73,306,32.21,8,0.39,44.17
Harshit Rana,27,385,9.19,21.85,14.26,9.96,148,38.44,3,0.28,44.09
LH Ferguson,57,958,9.09,25.46,16.81,10.72,351,36.64,7,0.37,44.06
KA Pollard,81,1488,8.87,27.16,18.37,10.91,405,27.22,11,0.31,43.92
JD Unadkat,109,2131,9.06,29.53,19.55,11.25,684,32.10,15,0.30,43.85
KW Richardson,21,335,8.58,22.81,15.95,10.94,129,38.51,4,0.29,43.75
A Nortje,62,1054,9.19,26.03,17.00,10.11,401,38.05,5,0.30,43.73
SB Jakati,50,1085,8.15,29.48,21.70,9.57,337,31.06,7,0.30,43.39
S Sreesanth,43,880,8.33,28.40,20.47,11.29,399,45.34,5,0.36,43.15
T Natarajan,76,1337,8.98,26.33,17.59,10.17,418,31.26,6,0.28,42.81
